Player,Age,Ht,YearInLeague,CumulativeG,CumulativeMP,CumulativeORB,CumulativeDRB,CumulativeAST,CumulativeSTL,CumulativeBLK,CumulativeDWS,Last2DWS,DWS_Next
Al Horford,-0.371372124,0.812299146,-0.066186987,-0.07738676,0.187731531,0.567948602,0.739169715,-0.094079908,-0.194301864,0.436530621,0.430796534,0.555051671,4.1
Al Horford,0.124038336,0.812299146,0.451376334,0.2931237,0.600586809,0.994889342,1.273883105,0.154676243,0.100724908,0.79140125,0.89157767,1.016412208,3.6
Al Horford,0.371743566,0.812299146,0.710157995,0.566510059,0.858260082,1.209177606,1.572310984,0.346753776,0.291789865,1.076461264,1.198765093,0.806702873,4.5
Al Horford,0.619448796,0.812299146,0.968939656,0.861479551,1.150727028,1.45127427,1.896029361,0.553788167,0.482854822,1.428423118,1.582749373,2.148842617,2.7
Al Horford,0.867154025,0.812299146,1.227721317,1.106088399,1.394505063,1.606674156,2.163386056,0.819075581,0.628963318,1.678577824,1.813139941,1.771365814,3.8
Al Jefferson,-1.609898273,0.812299146,-1.10131363,-0.962295238,-0.882535194,-0.606547379,-0.686491798,-0.678184539,-0.809643417,-0.43901085,-0.704090337,-0.074076334,1.5
Al Jefferson,-1.362193043,0.812299146,-0.842531969,-0.750061091,-0.764481261,-0.447875917,-0.540529494,-0.654568449,-0.725350054,-0.30520717,-0.576095578,-0.032134467,3.3
Al Jefferson,-1.114487814,0.812299146,-0.583750309,-0.501855055,-0.506696827,-0.060194096,-0.165507535,-0.585294584,-0.590480672,0.003123049,-0.294507106,0.764761006,2.9
Al Jefferson,-0.619077354,0.812299146,-0.066186987,-0.027026115,0.021877984,0.724984276,0.541903829,-0.431002795,-0.27297567,0.59069573,0.12360911,0.806702873,2.3
Al Jefferson,-0.371372124,0.812299146,0.192594674,0.246360244,0.295669731,1.019426166,0.91981613,-0.323155983,-0.095959607,0.875755744,0.319867742,0.555051671,2.7
Al Jefferson,0.124038336,0.812299146,0.710157995,0.760758261,0.853146635,1.621396251,1.650350235,-0.100377532,0.16534982,1.614584759,0.76358291,0.932528474,3.3
Al Jefferson,0.371743566,0.812299146,0.968939656,1.041338998,1.139722,1.876579222,2.057888549,0.028723761,0.390132122,1.873465792,1.045171381,1.184179676,4.7
Al Jefferson,0.619448796,0.812299146,1.227721317,1.30393379,1.423518318,2.131762192,2.517453031,0.150740228,0.5783873,2.103259069,1.446221629,2.10690075,3.4
Al Jefferson,0.867154025,0.812299146,1.486502977,1.537751071,1.644952813,2.293705232,2.841893993,0.239694167,0.710446903,2.347596223,1.736343085,2.148842617,1.8
Al Jefferson,1.114859255,0.812299146,1.745284638,1.706818951,1.76678625,2.386945163,3.018204895,0.294798378,0.794740266,2.466856025,1.889936797,0.932528474,1.1
Al Jefferson,1.362564485,0.812299146,2.004066299,1.944233421,1.870277974,2.509629284,3.164889784,0.339668949,0.848126063,2.513396435,1.983799621,-0.032134467,0.8
Al Thornton,-0.619077354,0.274496224,-1.10131363,-0.933517727,-0.759478976,-0.640898933,-0.638078558,-0.619931517,-0.742208727,-0.473916158,-0.687024369,0.093691134,1
Al Thornton,-0.371372124,0.274496224,-0.842531969,-0.678117312,-0.464455307,-0.441332764,-0.460322485,-0.538849607,-0.576431779,-0.293572067,-0.601694529,-0.157960068,1
Al Wood,-0.866782584,-0.263306698,-1.10131363,-1.045030584,-0.895985783,-0.717780982,-0.765976221,-0.651419637,-0.784355408,-0.57281453,-0.789420177,-0.912913674,0.4
Al Wood,-0.619077354,-0.263306698,-0.842531969,-0.771644225,-0.69344881,-0.560745308,-0.664814228,-0.545934434,-0.629817575,-0.468098606,-0.755288241,-0.912913674,1.7
Al Wood,-0.371372124,-0.263306698,-0.583750309,-0.480271921,-0.444890813,-0.40698121,-0.534026223,-0.415258735,-0.449991733,-0.375017785,-0.610227513,-0.367669403,2.1
Al Wood,-0.123666894,-0.263306698,-0.324968648,-0.192496806,-0.16198379,-0.245038171,-0.403960804,-0.229478825,-0.213970316,-0.223761452,-0.43103485,0.345342336,1.8
