Player,Age,Ht,YearInLeague,CumulativeG,CumulativeMP,Cumulative2P,Cumulative2PA,Cumulative3P,Cumulative3PA,CumulativeFT,CumulativeFTA,CumulativeORB,CumulativeAST,CumulativeTOV,CumulativeOWS,Last2OWS,OWS_Next
John Stockton,1.114859255,-1.607814002,1.227721317,1.717610518,1.907294885,1.38560382,1.210433357,0.648075985,0.678671896,1.93084849,1.735417542,0.073940543,6.689248406,2.963854445,3.368852599,3.189324249,9.9
Karl Malone,-0.123666894,0.543397685,-0.066186987,0.246360244,0.643384139,1.555376332,1.413752626,-0.46482553,-0.474006507,1.658349349,1.905827404,1.194455511,0.12003931,1.355521202,0.627437278,3.813206069,9.9
Karl Malone,0.124038336,0.543397685,0.192594674,0.541329736,1.010440716,2.089399568,1.918567137,-0.451655098,-0.456947842,2.333673307,2.578378323,1.580501544,0.332584122,1.744069035,1.184727045,4.125146978,9.9
Karl-Anthony Towns,-1.609898273,1.350102067,-1.10131363,-0.92272616,-0.707344047,-0.469857698,-0.529498212,-0.435192058,-0.455729365,-0.559161774,-0.585943457,-0.426610669,-0.570337727,-0.63021301,-0.329524949,1.869574247,9.9
LeBron James,1.114859255,0.274496224,2.004066299,2.332729825,3.27792105,4.438975113,4.043918567,3.888002292,4.253680811,5.259089807,5.432175466,1.148653439,4.667711083,4.358804861,6.90398365,3.309301522,9.9
Anthony Davis,-1.609898273,0.812299146,-0.842531969,-0.746463902,-0.532041739,-0.296284309,-0.339163506,-0.527385083,-0.544678122,-0.268890951,-0.290566364,-0.192692946,-0.564827306,-0.606326873,-0.025548713,1.845578793,9.8
Chris Mullin,-0.123666894,-0.263306698,-0.066186987,0.066500797,0.303895712,0.786332193,0.670782211,0.019187851,0.071870791,0.894166976,0.666000991,-0.11253932,0.397134769,0.543392535,0.869492429,3.165328795,9.8
Detlef Schrempf,1.114859255,0.543397685,0.968939656,1.296739412,1.196414566,1.122076339,1.076787357,-0.09605343,-0.048758344,1.995024012,1.887650352,1.272973348,1.04657725,1.3029717,1.674466538,2.277496975,9.8
James Harden,-1.114487814,-0.532208158,-0.583750309,-0.426314087,-0.346512536,-0.517368662,-0.541532686,0.519664272,0.489808098,0.005582822,-0.073199118,-0.606547379,-0.270413381,-0.365873091,0.177102112,2.229506066,9.8
John Stockton,-0.371372124,-1.607814002,-0.324968648,-0.037817682,-0.096175948,-0.191126709,-0.258405852,-0.418729018,-0.402116416,-0.02403665,-0.073956496,-0.564016884,1.525196678,0.263128524,0.278427524,2.253501521,9.8
Karl Malone,1.114859255,0.543397685,1.227721317,1.717610518,2.411969888,4.09816313,3.802595696,-0.366047289,-0.322915469,4.623258478,4.950483591,2.959471059,1.247314017,3.269597002,3.199976912,2.949369704,9.8
Kevin Garnett,-0.371372124,1.081200606,0.451376334,0.685217294,1.213866984,1.670669604,1.694662583,-0.181661239,-0.146236433,0.923786448,0.931082997,1.551057355,0.999345069,1.210611969,1.269164889,2.805396976,9.8
Ray Allen,0.619448796,-0.532208158,0.968939656,1.145657477,1.708315093,1.215197829,1.316843442,4.358845241,3.997800827,1.764979448,1.412774872,0.487794976,1.340203971,1.634192803,2.96918014,3.117337886,9.8
Kiki Vandeweghe,-0.619077354,0.274496224,-0.583750309,-0.444300032,-0.214563367,0.268145944,0.166601094,-0.481288571,-0.476443459,0.174413811,0.056312376,-0.213958193,-0.268838975,-0.201854948,0.430415643,3.621242432,9.7
LeBron James,-1.857603503,0.274496224,-1.10131363,-0.933517727,-0.652318909,-0.492662961,-0.462991909,-0.326535993,-0.298545947,-0.436734624,-0.445828682,-0.639263145,-0.331028013,-0.486896186,-0.504029826,0.381856063,9.7
Pau Gasol,0.124038336,1.350102067,0.451376334,0.591690381,0.981760947,1.37230075,1.283906987,-0.477995962,-0.471569555,1.607008931,1.704365079,1.26152283,0.537256904,1.119844648,1.561882747,2.061537884,9.7
Ray Allen,0.371743566,-0.532208158,0.710157995,0.86507674,1.367715047,0.942168155,1.019781954,3.670690161,3.320328109,1.391774103,1.088617447,0.358567703,1.112702302,1.361890839,2.423148751,2.613433339,9.7
