Player,Age,Ht,YearInLeague,CumulativeG,CumulativeMP,Cumulative2P,Cumulative2PA,Cumulative3P,Cumulative3PA,CumulativeFT,CumulativeFTA,CumulativeORB,CumulativeAST,CumulativeTOV,CumulativeOWS,Last2OWS
Jake Layman,-0.74022298,0.618511286,-0.751824755,-0.79946614,-0.81344992,-0.694075635,-0.694483789,-0.603321565,-0.606141167,-0.628278269,-0.639704113,-0.647730195,-0.594561771,-0.732444374,-0.248177617,-0.851195291
Jakob Poeltl,-0.979863513,1.508376547,-0.751824755,-0.586892293,-0.631137075,-0.501404754,-0.553895122,-0.642587117,-0.669188863,-0.554139598,-0.535090727,-0.221303382,-0.558554895,-0.579111741,-0.248177617,0.43234915
Jalen Jones,-0.500582447,0.025267779,-0.982236428,-0.973390196,-0.837325468,-0.698632041,-0.701968833,-0.620500244,-0.64725923,-0.631204795,-0.640462181,-0.642239721,-0.608351639,-0.746525942,-0.253470505,-0.660029098
Jamal Crawford,2.614744484,-0.567975728,2.934762012,3.039746359,3.099626705,2.16995098,2.489914609,4.638629593,4.971295666,2.869896397,2.510826534,0.172180586,2.689725007,2.961620382,-0.253470505,-0.277696711
Jamal Murray,-1.45914458,-0.864597482,-0.751824755,-0.499930265,-0.402958046,-0.387494604,-0.386295206,0.042105942,0.041696762,-0.316115443,-0.372106105,-0.440922342,-0.271265988,-0.311561943,-0.26405628,0.678134256
Jameel Warney,-0.500582447,0.321889533,-0.982236428,-1.015260802,-0.853451934,-0.704490277,-0.711731935,-0.645041214,-0.671016333,-0.639984375,-0.651075133,-0.658711143,-0.611416054,-0.755913654,-0.26405628,-0.605410185
Jameer Nelson,2.135463418,-2.051084496,2.01311532,1.802953071,1.71337889,1.00741654,1.093140166,2.184532609,2.192628332,0.534528257,0.475413929,0.11361553,2.842179653,2.107338571,-0.26405628,-0.059221061
Jamel Artis,-0.260941914,0.025267779,-0.982236428,-0.976611012,-0.827063171,-0.694075635,-0.69936534,-0.625408438,-0.644518025,-0.636082339,-0.645768657,-0.658711143,-0.597626186,-0.744961323,-0.269349167,-0.71464801
James Ennis,0.218339152,0.025267779,-0.291001409,-0.316343762,-0.386622144,-0.498150178,-0.51321553,-0.254839793,-0.266231844,-0.362939867,-0.386509398,-0.274377964,-0.455130888,-0.486799237,-0.279934943,0.268492413
James Harden,0.457979686,-0.567975728,0.861056956,1.187777242,1.57724638,1.249556972,1.230149029,3.396856519,3.461805881,4.088306927,3.649444684,0.27832975,2.573277237,2.971008094,-0.279934943,5.648455283
James Johnson,0.937260752,0.618511286,0.861056956,0.736863023,0.326816922,0.256911384,0.188100622,-0.053603841,0.065453865,0.00677798,0.072879816,0.194142482,0.266538844,0.503604401,-0.28522783,0.459658606
James Michael McAdoo,-0.260941914,0.618511286,-0.291001409,-0.66741269,-0.764756369,-0.625729545,-0.639159545,-0.632770729,-0.655482842,-0.581453845,-0.565413448,-0.521449293,-0.583070215,-0.691764287,-0.290520718,-0.578100729
James Webb,-0.500582447,0.618511286,-0.982236428,-0.992715091,-0.843713224,-0.707744853,-0.714009992,-0.635224826,-0.653655373,-0.642910901,-0.654865473,-0.651390511,-0.608351639,-0.751219798,-0.290520718,-0.71464801
James Young,-0.979863513,-0.271353975,-0.291001409,-0.718945743,-0.771248842,-0.683660993,-0.691880295,-0.551785528,-0.545834674,-0.616572163,-0.618478208,-0.631258773,-0.589965149,-0.734008992,-0.290520718,-0.632719642
Jamil Wilson,0.218339152,0.025267779,-0.982236428,-0.976611012,-0.827586758,-0.701886617,-0.709779315,-0.578780595,-0.613451044,-0.640959884,-0.651833201,-0.660541301,-0.603755016,-0.744961323,-0.295813605,-0.441553448
JaMychal Green,0.218339152,0.618511286,-0.291001409,-0.27125234,-0.306199247,-0.307432042,-0.322835044,-0.367728255,-0.375880013,-0.325870531,-0.332686569,0.197802798,-0.432147776,-0.339725079,-0.295813605,0.568896431
Jared Dudley,1.416541818,0.025267779,1.321880301,1.513079644,1.075964594,0.248449487,0.208928572,1.342777343,1.200312408,0.235047046,0.276042043,0.726718458,0.36766454,0.353401006,-0.301106493,-0.223077799
